user,location,text
liderAndroide,,Mi #iPhoneSE2 me llegó primero que a ustedes iphoneros 🥱 ...se que dirán que es un #iPhone8 rojo ...pero no me impo… https://t.co/Ts6EwFgbSG
novedadesqroo,"Cancún, Quintana Roo","🧐 Apple... ¿no te das cuenta que hay crisis en el mundo? Conoce su nuevo terminal económico, #iPhoneSE. https://t.co/1mSrtTbM7s"
Carlos_Vassan,México,"Ahora que sabemos cuánto costará el #iPhoneSE y que estará disponible en próximos días, yo les pregunto 🧐🧐

¿Se lo… https://t.co/B9JL5dmIku"
iManuMX,México,"El iPhone SE es OFICIAL y estas son algunas de sus características. ⁣
⁣
📱 Capacidades: 64,128 y 256 GB⁣
🔴 Colores:… https://t.co/yWFL7aE5et"
liderAndroide,,Y justo cuando pensé que #Apple no podía tener un teléfono más feo que los actuales #iPhone (que son feos por delan… https://t.co/krCeKel2bH
TambienSoyJose,"Querétaro Arteaga, México","Qué clase iPhone XR con touch ID es el “nuevo” #iPhoneSE se mamaron, #Apple , neta se mamaron. The new iPhone SE —… https://t.co/O3c8rstwC0"
AmericaDigital,Continente Americano,"Finalmente, #Apple lanza al mercado el nuevo #iPhoneSE

https://t.co/A7O6Az87jV"
CajaTeam,,Conoce el nuevo #IphoneSE una versión mas económica del iphone 11 que viene en 3 diferentes colores https://t.co/HfuHVl7ops
HumOliva,,"Nuevo iPhone SE, bonito mas poderoso y mas barato... Problema es mas barato en dólares, pero el dólar esta mucho ma… https://t.co/yfdyvXyEdn"
esloren,about.me/esteban_lorenzut,"#PeriodismoEnEmergencia sale con la primicia de un 3,3% de #inflacion inflación en marzo 2020.

Este año acumula: E… https://t.co/JcKPSAeFCZ"
jjjchm,"Caracas, Venezuela","Para mí... #iPhoneSE 
 https://t.co/IMLrQirMK9"
el_amigo_geek,,"Nuevo iPhone SE 2020 hace su debut.
.
.
.
.
.
#Apple #AppleiPhone #iPhone #iPhoneSE #ios #ios13 #applefans… https://t.co/HRMzKoFZYR"
Samuel78230328,Puerto Rico,1.000 favs y me compro el nuevo #iPhoneSE cuando salga y lo sorteo
NtcAfc,METRO Apatlaco y eje 5,"¡HOLA! #GneracionTouch :
#FelizMiercoles
¡La imagen del dia!
#iPhoneSE https://t.co/g0wAKXF1sY"
elcomerciocom,Ecuador,Apple sorprende en cuarentena con su nuevo #iPhoneSE. Las características del nuevo smartphone con una inédita pres… https://t.co/SUkCnp6Hs5
omglobalnews,Instagram: @omglobalnews,"PODCAST | Apple lanza un nuevo #iPhoneSE 📱 

#LosDestacadosEnCuarentena 23

🗣 Con @JulenHernandez @porexpan @omai y… https://t.co/3V4CQJmVli"
marsonauta,"Syrtis Major, Mars","Del nuevo iPhone, sólo me interesaba saber si podíamos seguir alejándonos de los 320pt. Bacán porque subió a 375. #iPhoneSE"
moshlsd,Villahermosa,Si se compran el  nuevo #iPhoneSE los mando alv
celsoibarra,"UT: 24.145052,-110.317001","Y así la nueva generación de #iPhoneSE 

• Cámara de 12 megapixeles con estabilizador y modo retrato. 
• 64, 128 y… https://t.co/KBdMAPlsf2"
atodochip,"Madrid, Spain",Lo de #TouchID es algo muy acertado. Puede valorar el futuro de la seguridad en Apple en base a ello. De nuevo.… https://t.co/8VJ0AitUDG
lajornadaonline,México,"El #IphoneSE podría atraer a más consumidores a los servicios de @Apple, que empezará a recibir pedidos en su págin… https://t.co/9xbJr2zzpl"
_RobledoJM,"Durango, México","«#FraudeVolaris» @viajaVolaris imposible cambiar vuelo, dias marcando en espera al enviar al área especializada por… https://t.co/MidYV9GiMB"
MiamiMundo,Miami Florida,Apple lanza el iPhone SE a sólo 399 dólares #Apple #iPhoneSE https://t.co/1RUYenbjbI https://t.co/2D1zEhi8uP
Abrahamlez,"Ciudad Guayana, Venezuela ","Cuando en plena pandemia global, Apple anuncia por sorpresa un nuevo iPhone. 
#iPhoneSE https://t.co/RvNH2MRJLJ"
interes87253927,,"Todos sabemos las carcasas de los SE, son las que sobraron de los modelos anteriores no ?????? #iPhoneSE"
NelsonRafael013,"Caracas, Venezuela",El costo del nuevo #iPhoneSE https://t.co/jHcPfJU5Fn
MemoInPR,"18 15 N, 66 30 O","@juancpedreira @wiltonv @tecnetico Con todo los bochinches relacionado al COVID-19, falta de pruebas y chanchullos,… https://t.co/a40vfkNdrX"
ElGris,Gelves / New York,El iPhone SE: así es el iPhone 'barato' de Apple; por @susanacgomez en @diariosevilla #iPhone #iPhoneSE… https://t.co/zZnUc21AXM
kikeSalazar__,,#Apple al puro estilo vintage. #iPhoneSE
bazais,"Madrid, Comunidad de Madrid",Mucho iPhone por menos: muy fan de Apple que lanza hoy su nuevo iPhone SE por 489 €. El precio era una de las princ… https://t.co/vpsXcjJk0f
GlucMx,México,"¡Te presentamos lo nuevo de iPhone 😍!

Todo lo que debes de saber sobre el #iPhoneSE y #iPhoneSE2 📲 ¡y lo que va a… https://t.co/x36C3UMubd"
TheNostalgico,Ciudad de México / Mexico City,Si me ando animando por el #iPhoneSE 🧐
TheBat_PvP_,"Sinaloa, México","Hola 😁 Buenos dias 
Te interesaria GANAR un ingreso extra de 50$ a 450$ (dolares) al dia en tan solo pocas horas?… https://t.co/ynNc0WUfn8"
ColombiacomTW,Colombia,#iPhoneSE El nuevo dispositivo con toda la novedad de la marca pero más asequible 📲😍👇 https://t.co/2AoqkZdoij
teresa_s_rocha,,Para lo que de verdad no les alcanza es para originalidad ¡siempre los pendejos chistes del costo! #iPhoneSE
Fuertes33,LOGROÑO,"Nuevo IPhone SE 64GB 489€
¿Hay algún móvil que lo supere ahora mismo? ¿Te lo comprarías?
#iPhoneSE #iphonese2020… https://t.co/0mu2ojvrpk"
A77_360,internet ,"Apple lanza el #iPhoneSE con A13 bionic 📱

#77Apple"
ivanalescanomdq,"Mar del Plata, Argentina",Lo necesito😍 #iPhoneSE https://t.co/LPmiTCUfuF
carlozconzeta,"Mexico city, México 🇲🇽",Mil veces el IPhone 8 que el nuevo #iPhoneSE
wreckinqtumblrr,,donde esta mi sugar? para que me compre el nuevo #iPhoneSE
Apperlas,,"📱 Vídeo en 3D del nuevo #iPhoneSE.
¿Qué te parece el nuevo #iPhone barato de #Apple? https://t.co/SLWgzr2s7s"
Jim_Alexander89,Ecuador,Se han fijado que ahora los productos RED de @Apple contribuyen a la lucha contra el #COVID19 @MARCIANOPHONE… https://t.co/74LLIiVaBG
thewitcho,,El #iPhoneSE entra en la canasta básica????
FeniXBMS,"Madrid, Comunidad de Madrid",Fondos nuevos de #iPhoneSE #iphonese2020 https://t.co/rSSxRZS18n
