user,location,text,sentiment,probability
liderAndroide,,Mi #iPhoneSE2 me llegó primero que a ustedes iphoneros 🥱 ...se que dirán que es un #iPhone8 rojo ...pero no me impo… https://t.co/Ts6EwFgbSG,Positivo,65
novedadesqroo,"Cancún, Quintana Roo","🧐 Apple... ¿no te das cuenta que hay crisis en el mundo? Conoce su nuevo terminal económico, #iPhoneSE. https://t.co/1mSrtTbM7s",Positivo,57
Carlos_Vassan,México,"Ahora que sabemos cuánto costará el #iPhoneSE y que estará disponible en próximos días, yo les pregunto 🧐🧐

¿Se lo… https://t.co/B9JL5dmIku",Positivo,69
iManuMX,México,"El iPhone SE es OFICIAL y estas son algunas de sus características. ⁣
⁣
📱 Capacidades: 64,128 y 256 GB⁣
🔴 Colores:… https://t.co/yWFL7aE5et",Positivo,69
liderAndroide,,Y justo cuando pensé que #Apple no podía tener un teléfono más feo que los actuales #iPhone (que son feos por delan… https://t.co/krCeKel2bH,Positivo,64
TambienSoyJose,"Querétaro Arteaga, México","Qué clase iPhone XR con touch ID es el “nuevo” #iPhoneSE se mamaron, #Apple , neta se mamaron. The new iPhone SE —… https://t.co/O3c8rstwC0",Positivo,80
AmericaDigital,Continente Americano,"Finalmente, #Apple lanza al mercado el nuevo #iPhoneSE

https://t.co/A7O6Az87jV",Positivo,80
CajaTeam,,Conoce el nuevo #IphoneSE una versión mas económica del iphone 11 que viene en 3 diferentes colores https://t.co/HfuHVl7ops,Positivo,82
HumOliva,,"Nuevo iPhone SE, bonito mas poderoso y mas barato... Problema es mas barato en dólares, pero el dólar esta mucho ma… https://t.co/yfdyvXyEdn",Positivo,75
esloren,about.me/esteban_lorenzut,"#PeriodismoEnEmergencia sale con la primicia de un 3,3% de #inflacion inflación en marzo 2020.

Este año acumula: E… https://t.co/JcKPSAeFCZ",Positivo,70
jjjchm,"Caracas, Venezuela","Para mí... #iPhoneSE 
 https://t.co/IMLrQirMK9",Positivo,69
el_amigo_geek,,"Nuevo iPhone SE 2020 hace su debut.
.
.
.
.
.
#Apple #AppleiPhone #iPhone #iPhoneSE #ios #ios13 #applefans… https://t.co/HRMzKoFZYR",Positivo,78
Samuel78230328,Puerto Rico,1.000 favs y me compro el nuevo #iPhoneSE cuando salga y lo sorteo,Positivo,82
NtcAfc,METRO Apatlaco y eje 5,"¡HOLA! #GneracionTouch :
#FelizMiercoles
¡La imagen del dia!
#iPhoneSE https://t.co/g0wAKXF1sY",Positivo,75
elcomerciocom,Ecuador,Apple sorprende en cuarentena con su nuevo #iPhoneSE. Las características del nuevo smartphone con una inédita pres… https://t.co/SUkCnp6Hs5,Positivo,84
omglobalnews,Instagram: @omglobalnews,"PODCAST | Apple lanza un nuevo #iPhoneSE 📱 

#LosDestacadosEnCuarentena 23

🗣 Con @JulenHernandez @porexpan @omai y… https://t.co/3V4CQJmVli",Positivo,78
marsonauta,"Syrtis Major, Mars","Del nuevo iPhone, sólo me interesaba saber si podíamos seguir alejándonos de los 320pt. Bacán porque subió a 375. #iPhoneSE",Positivo,76
moshlsd,Villahermosa,Si se compran el  nuevo #iPhoneSE los mando alv,Positivo,76
celsoibarra,"UT: 24.145052,-110.317001","Y así la nueva generación de #iPhoneSE 

• Cámara de 12 megapixeles con estabilizador y modo retrato. 
• 64, 128 y… https://t.co/KBdMAPlsf2",Positivo,75
atodochip,"Madrid, Spain",Lo de #TouchID es algo muy acertado. Puede valorar el futuro de la seguridad en Apple en base a ello. De nuevo.… https://t.co/8VJ0AitUDG,Positivo,73
lajornadaonline,México,"El #IphoneSE podría atraer a más consumidores a los servicios de @Apple, que empezará a recibir pedidos en su págin… https://t.co/9xbJr2zzpl",Positivo,68
_RobledoJM,"Durango, México","«#FraudeVolaris» @viajaVolaris imposible cambiar vuelo, dias marcando en espera al enviar al área especializada por… https://t.co/MidYV9GiMB",Positivo,58
MiamiMundo,Miami Florida,Apple lanza el iPhone SE a sólo 399 dólares #Apple #iPhoneSE https://t.co/1RUYenbjbI https://t.co/2D1zEhi8uP,Positivo,69
Abrahamlez,"Ciudad Guayana, Venezuela ","Cuando en plena pandemia global, Apple anuncia por sorpresa un nuevo iPhone. 
#iPhoneSE https://t.co/RvNH2MRJLJ",Positivo,79
interes87253927,,"Todos sabemos las carcasas de los SE, son las que sobraron de los modelos anteriores no ?????? #iPhoneSE",Positivo,66
NelsonRafael013,"Caracas, Venezuela",El costo del nuevo #iPhoneSE https://t.co/jHcPfJU5Fn,Positivo,84
MemoInPR,"18 15 N, 66 30 O","@juancpedreira @wiltonv @tecnetico Con todo los bochinches relacionado al COVID-19, falta de pruebas y chanchullos,… https://t.co/a40vfkNdrX",Positivo,51
ElGris,Gelves / New York,El iPhone SE: así es el iPhone 'barato' de Apple; por @susanacgomez en @diariosevilla #iPhone #iPhoneSE… https://t.co/zZnUc21AXM,Positivo,70
kikeSalazar__,,#Apple al puro estilo vintage. #iPhoneSE,Positivo,62
bazais,"Madrid, Comunidad de Madrid",Mucho iPhone por menos: muy fan de Apple que lanza hoy su nuevo iPhone SE por 489 €. El precio era una de las princ… https://t.co/vpsXcjJk0f,Positivo,83
GlucMx,México,"¡Te presentamos lo nuevo de iPhone 😍!

Todo lo que debes de saber sobre el #iPhoneSE y #iPhoneSE2 📲 ¡y lo que va a… https://t.co/x36C3UMubd",Positivo,80
TheNostalgico,Ciudad de México / Mexico City,Si me ando animando por el #iPhoneSE 🧐,Positivo,52
TheBat_PvP_,"Sinaloa, México","Hola 😁 Buenos dias 
Te interesaria GANAR un ingreso extra de 50$ a 450$ (dolares) al dia en tan solo pocas horas?… https://t.co/ynNc0WUfn8",Positivo,82
ColombiacomTW,Colombia,#iPhoneSE El nuevo dispositivo con toda la novedad de la marca pero más asequible 📲😍👇 https://t.co/2AoqkZdoij,Positivo,84
teresa_s_rocha,,Para lo que de verdad no les alcanza es para originalidad ¡siempre los pendejos chistes del costo! #iPhoneSE,Positivo,67
Fuertes33,LOGROÑO,"Nuevo IPhone SE 64GB 489€
¿Hay algún móvil que lo supere ahora mismo? ¿Te lo comprarías?
#iPhoneSE #iphonese2020… https://t.co/0mu2ojvrpk",Positivo,76
A77_360,internet ,"Apple lanza el #iPhoneSE con A13 bionic 📱

#77Apple",Positivo,63
ivanalescanomdq,"Mar del Plata, Argentina",Lo necesito😍 #iPhoneSE https://t.co/LPmiTCUfuF,Positivo,70
carlozconzeta,"Mexico city, México 🇲🇽",Mil veces el IPhone 8 que el nuevo #iPhoneSE,Positivo,85
wreckinqtumblrr,,donde esta mi sugar? para que me compre el nuevo #iPhoneSE,Positivo,85
Apperlas,,"📱 Vídeo en 3D del nuevo #iPhoneSE.
¿Qué te parece el nuevo #iPhone barato de #Apple? https://t.co/SLWgzr2s7s",Positivo,83
Jim_Alexander89,Ecuador,Se han fijado que ahora los productos RED de @Apple contribuyen a la lucha contra el #COVID19 @MARCIANOPHONE… https://t.co/74LLIiVaBG,Positivo,63
thewitcho,,El #iPhoneSE entra en la canasta básica????,Positivo,67
FeniXBMS,"Madrid, Comunidad de Madrid",Fondos nuevos de #iPhoneSE #iphonese2020 https://t.co/rSSxRZS18n,Positivo,72
PublimetroMX,Ciudad de México,"Esto costará #iPhoneSE en México 👇

https://t.co/4ZiN0cTjcM",Positivo,68
jl_hoz,"Madrid, Spain","Procesador A13, Touch ID, diseño del iPhone 8 (4.7""), doble SIM, resistencia al agua, batería y cámara similar al i… https://t.co/0pxNw0pCv6",Positivo,70
RIDNoticias,"Oaxaca, México 📩 ridmxnoticias@gmail.com","#PorQuéEsTendencia #⃣❔

🔵 #Apple es tendencia tras la presentación del nuevo #iPhoneSE, el #smartphone más económic… https://t.co/PPZS5GW28X",Positivo,73
JoiaribJoaquin,México,Apple presenta por sorpresa y de incógnito la nueva generación de su iPhone de gama baja: el #iPhoneSE 2020.,Positivo,73
jimmunari,Lima,Apple acaba de lanzar la segunda versión del iPhone SE. Este nuevo dispositivo posee el mismo procesador del iPhone… https://t.co/He5g0JUXPM,Positivo,78
proyectonovac,Venezuela.,"¡Nuevos iPhones SE 2020! #Apple #iPhone #iPhoneSE #ProyectoNovac 

https://t.co/daIn1JhJ1I https://t.co/x8tN7jsCtv",Positivo,74
eatisep,,"Nuevo #iPhoneSE ve que quiere recuperar mercado que perdió contra los #Huawei 😜
📱Diseño: iPhone 8
📸 Cámara: iPhone… https://t.co/8g0qUDjFIy",Positivo,79
nubesaltasbta,"Bogotá, D.C., Colombia","HASTA KIKO LO SABE NO SEAS TAN BORREGO

@MarioRHernande1 @denuncia_bogota @TuDenunciaCL #ElGalloALaParrilla… https://t.co/qzzs6cNG2r",Positivo,62
FeniXBMS,"Madrid, Comunidad de Madrid",El hermanito pequeño de mi gran y mas adorado IPHONE el #iPhone7Plus acaba de nacer y pronto estará entre nosotros… https://t.co/LUWEfRj0FM,Positivo,84
blodico,,iPhone SE (2020): la evolución del smartphone más asequible de Apple es promet #IPhoneSE #Precio #Ficha https://t.co/5EZpQ1v7AC #followme,Positivo,68
